id,word_count,unique_words_count,word_count_above_mean,unique_words_count_above_mean,char_count,char_count_above_mean,avg_word_length,subjectivity,polarity,neg,neu,pos
1,7,7,0,0,38,0,5.428571428571429,0.0,0.2732,0,0,1
4,7,7,0,0,31,0,4.428571428571429,0.4,-0.34,1,0,0
5,11,9,1,0,78,1,7.090909090909091,0.4,0.0,0,1,0
6,8,8,0,0,53,1,6.625,0.0,0.0,0,1,0
7,10,10,1,1,47,0,4.7,0.0,0.0,0,1,0
8,15,14,1,1,78,1,5.2,0.2375,-0.34,1,0,0
10,12,12,1,1,75,1,6.25,0.5,-0.6249,1,0,0
13,6,6,0,0,21,0,3.5,0.5,-0.1531,1,0,0
14,7,7,0,0,54,1,7.714285714285714,0.0,-0.3818,1,0,0
15,5,5,0,0,25,0,5.0,0.9,0.0,0,1,0
16,6,6,0,0,26,0,4.333333333333333,1.0,-0.5574,1,0,0
17,15,12,1,1,77,1,5.133333333333334,0.26666666666666666,0.4588,0,0,1
18,12,12,1,1,55,1,4.583333333333333,0.0,-0.3182,1,0,0
19,6,5,0,0,29,0,4.833333333333333,0.0,0.0,0,1,0
20,9,9,0,0,38,0,4.222222222222222,0.0,-0.7096,1,0,0
23,2,2,0,0,8,0,4.0,0.0,0.0,0,1,0
24,2,2,0,0,10,0,5.0,0.6,0.6369,0,0,1
25,2,2,0,0,12,0,6.0,0.75,0.5859,0,0,1
26,2,2,0,0,7,0,3.5,0.6,0.0,0,1,0
28,1,1,0,0,15,0,15.0,0.0,0.0,0,1,0
31,1,1,0,0,10,0,10.0,1.0,-0.3612,1,0,0
32,3,3,0,0,10,0,3.3333333333333335,0.65,0.3182,0,0,1
33,2,2,0,0,10,0,5.0,0.6,0.6369,0,0,1
34,2,2,0,0,12,0,6.0,1.0,0.5719,0,0,1
36,1,1,0,0,8,0,8.0,0.0,0.0,0,1,0
37,4,4,0,0,15,0,3.75,0.8,0.4449,0,0,1
38,3,3,0,0,11,0,3.6666666666666665,0.06666666666666667,0.0,0,1,0
39,2,2,0,0,14,0,7.0,0.6,0.6369,0,0,1
40,2,2,0,0,6,0,3.0,0.0,0.0,0,1,0
41,2,2,0,0,9,0,4.5,0.0,0.3612,0,0,1
44,1,1,0,0,3,0,3.0,0.0,0.0,0,1,0
48,4,4,0,0,22,0,5.5,0.0,0.0,0,1,0
49,7,7,0,0,26,0,3.7142857142857144,0.5,0.0,0,1,0
50,8,8,0,0,46,0,5.75,0.0,0.0,0,1,0
52,4,4,0,0,19,0,4.75,0.55,-0.4767,1,0,0
53,8,8,0,0,30,0,3.75,0.06666666666666667,0.0,0,1,0
54,13,13,1,1,67,1,5.153846153846154,0.32727272727272727,-0.3612,1,0,0
55,7,6,0,0,23,0,3.2857142857142856,0.0,0.0,0,1,0
56,18,17,1,1,89,1,4.944444444444445,0.0,0.0,0,1,0
57,3,3,0,0,11,0,3.6666666666666665,0.0,0.0,0,1,0
59,3,3,0,0,8,0,2.6666666666666665,0.0,0.0,0,1,0
61,5,5,0,0,32,0,6.4,0.2833333333333334,-0.7311,1,0,0
62,16,16,1,1,73,1,4.5625,0.6,0.8807,0,0,1
63,4,4,0,0,17,0,4.25,0.0,0.0,0,1,0
64,7,7,0,0,36,0,5.142857142857143,0.0,0.0,0,1,0
65,10,10,1,1,40,0,4.0,0.06666666666666667,0.3818,0,0,1
66,8,8,0,0,49,0,6.125,0.0,-0.25,1,0,0
67,7,7,0,0,46,0,6.571428571428571,1.0,0.5423,0,0,1
68,3,3,0,0,8,0,2.6666666666666665,0.0,0.0,0,1,0
71,17,16,1,1,79,1,4.647058823529412,0.4079365079365079,0.2927,0,0,1
73,8,8,0,0,36,0,4.5,0.0,0.0,0,1,0
74,9,9,0,0,41,0,4.555555555555555,0.0,0.0,0,1,0
76,14,12,1,1,61,1,4.357142857142857,0.0,0.0,0,1,0
77,9,9,0,0,61,1,6.777777777777778,0.43333333333333335,0.0,0,1,0
78,12,11,1,1,72,1,6.0,0.7708333333333333,0.5106,0,0,1
79,14,13,1,1,80,1,5.714285714285714,0.0,0.0,0,1,0
80,12,11,1,1,56,1,4.666666666666667,0.05,0.0,0,1,0
81,13,12,1,1,56,1,4.3076923076923075,0.0,0.802,0,0,1
82,14,14,1,1,67,1,4.785714285714286,0.9,0.0,0,1,0
83,8,8,0,0,49,0,6.125,0.0,-0.25,1,0,0
85,12,11,1,1,55,1,4.583333333333333,0.0,0.0,0,1,0
86,11,11,1,1,72,1,6.545454545454546,0.0,0.4215,0,0,1
89,16,13,1,1,54,1,3.375,0.7,-0.3612,1,0,0
91,11,11,1,1,64,1,5.818181818181818,0.0,0.0,0,1,0
92,9,8,0,0,39,0,4.333333333333333,0.0,0.0,0,1,0
93,6,6,0,0,30,0,5.0,0.9,-0.0258,0,1,0
95,8,8,0,0,30,0,3.75,0.375,0.0,0,1,0
96,14,13,1,1,74,1,5.285714285714286,1.0,-0.4767,1,0,0
97,10,10,1,1,54,1,5.4,0.25,-0.4767,1,0,0
98,13,13,1,1,72,1,5.538461538461538,0.425,-0.0258,0,1,0
100,1,1,0,0,0,0,0.0,0.0,0.0,0,1,0
102,9,9,0,0,59,1,6.555555555555555,0.25,-0.128,1,0,0
104,15,14,1,1,90,1,6.0,0.4,-0.2023,1,0,0
105,4,4,0,0,32,0,8.0,0.5,-0.4767,1,0,0
107,15,15,1,1,70,1,4.666666666666667,0.1,-0.6908,1,0,0
109,8,8,0,0,36,0,4.5,0.0,-0.6369,1,0,0
110,6,6,0,0,23,0,3.8333333333333335,0.0,-0.4767,1,0,0
112,9,9,0,0,52,1,5.777777777777778,0.0,-0.4767,1,0,0
113,15,15,1,1,72,1,4.8,0.0,-0.6908,1,0,0
114,7,7,0,0,37,0,5.285714285714286,0.0,0.0,0,1,0
117,15,15,1,1,69,1,4.6,0.6,-0.4767,1,0,0
118,12,12,1,1,59,1,4.916666666666667,0.625,-0.4588,1,0,0
119,7,7,0,0,38,0,5.428571428571429,0.0,-0.8074,1,0,0
120,5,5,0,0,38,0,7.6,0.0,0.0,0,1,0
121,9,9,0,0,34,0,3.7777777777777777,0.0,-0.4767,1,0,0
126,13,13,1,1,81,1,6.230769230769231,0.0,-0.7003,1,0,0
128,8,8,0,0,54,1,6.75,0.0,-0.3182,1,0,0
129,17,17,1,1,93,1,5.470588235294118,0.3666666666666667,-0.4767,1,0,0
130,19,18,1,1,84,1,4.421052631578948,0.0,-0.8271,1,0,0
131,6,6,0,0,39,0,6.5,0.0,-0.743,1,0,0
132,3,2,0,0,8,0,2.6666666666666665,0.0,-0.4767,1,0,0
133,7,7,0,0,44,0,6.285714285714286,0.0,-0.3182,1,0,0
134,10,10,1,1,51,0,5.1,0.0,-0.7096,1,0,0
135,7,7,0,0,43,0,6.142857142857143,0.0,-0.4767,1,0,0
136,4,4,0,0,23,0,5.75,0.0,-0.4767,1,0,0
137,20,18,1,1,93,1,4.65,0.26785714285714285,-0.3818,1,0,0
138,13,12,1,1,86,1,6.615384615384615,0.0,0.6705,0,0,1
139,12,12,1,1,73,1,6.083333333333333,0.7,-0.7096,1,0,0
141,2,2,0,0,18,0,9.0,0.0,-0.4767,1,0,0
143,13,10,1,1,51,0,3.923076923076923,0.8,-0.5233,1,0,0
144,10,10,1,1,63,1,6.3,0.08333333333333333,-0.9042,1,0,0
145,12,12,1,1,99,1,8.25,0.0,-0.4767,1,0,0
146,5,5,0,0,17,0,3.4,0.45,0.0,0,1,0
149,10,9,1,0,49,0,4.9,0.65,0.2263,0,0,1
151,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
153,8,8,0,0,54,1,6.75,0.0,0.2023,0,0,1
156,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
157,6,6,0,0,38,0,6.333333333333333,0.0,0.0,0,1,0
158,11,11,1,1,51,0,4.636363636363637,0.0,0.0,0,1,0
159,7,7,0,0,43,0,6.142857142857143,0.0,0.7184,0,0,1
160,7,7,0,0,55,1,7.857142857142857,0.6,-0.4767,1,0,0
161,7,7,0,0,37,0,5.285714285714286,0.45,0.5106,0,0,1
162,11,10,1,1,62,1,5.636363636363637,0.46666666666666673,0.128,0,0,1
163,2,2,0,0,10,0,5.0,0.0,0.0,0,1,0
164,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
165,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
168,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
170,5,5,0,0,24,0,4.8,0.0,0.0,0,1,0
171,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
172,6,5,0,0,22,0,3.6666666666666665,0.0,0.0,0,1,0
173,16,15,1,1,76,1,4.75,0.2333333333333333,0.7713,0,0,1
174,11,11,1,1,67,1,6.090909090909091,0.0,0.6705,0,0,1
175,13,13,1,1,77,1,5.923076923076923,0.8666666666666667,-0.9246,1,0,0
176,8,7,0,0,40,0,5.0,0.0,0.0,0,1,0
178,11,11,1,1,66,1,6.0,0.0,0.6705,0,0,1
180,10,9,1,0,63,1,6.3,0.7178571428571429,-0.6486,1,0,0
182,11,11,1,1,53,1,4.818181818181818,1.0,0.25,0,0,1
183,10,10,1,1,48,0,4.8,0.0,0.802,0,0,1
184,14,14,1,1,72,1,5.142857142857143,0.3,-0.7096,1,0,0
185,6,6,0,0,35,0,5.833333333333333,0.0,0.0,0,1,0
187,2,2,0,0,6,0,3.0,0.6,0.6369,0,0,1
190,2,2,0,0,10,0,5.0,0.0,0.0,0,1,0
191,12,11,1,1,70,1,5.833333333333333,0.625,0.9001,0,0,1
193,10,10,1,1,50,0,5.0,0.0,0.2584,0,0,1
194,11,9,1,0,53,1,4.818181818181818,0.16666666666666666,0.0,0,1,0
195,10,10,1,1,43,0,4.3,0.0,0.0772,0,0,1
196,15,14,1,1,84,1,5.6,0.0,-0.4767,1,0,0
197,12,12,1,1,73,1,6.083333333333333,0.5,-0.765,1,0,0
